file_name,file_origin,file_length,file_type
EFTA02829305.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,18,other
EFTA02829323.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829325.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,10,other
EFTA02829335.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829337.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,33,other
EFTA02829370.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,4,other
EFTA02829374.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829376.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829378.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,4,other
EFTA02829382.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829384.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829385.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829386.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829387.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829389.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829390.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829392.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,7,other
EFTA02829399.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829401.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,18,other
EFTA02829419.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,26,other
EFTA02829445.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829446.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829447.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829449.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,19,other
EFTA02829468.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829469.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829471.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829472.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829473.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,7,other
EFTA02829480.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829481.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,13,other
EFTA02829494.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,4,other
EFTA02829498.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829500.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829501.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829502.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,12,other
EFTA02829514.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,7,other
EFTA02829521.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829523.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,5,other
EFTA02829528.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,12,other
EFTA02829540.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,3,other
EFTA02829543.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,6,other
EFTA02829549.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829551.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,6,other
EFTA02829557.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,5,other
EFTA02829562.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,5,other
EFTA02829567.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829568.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829569.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829570.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,5,other
EFTA02829575.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,4,other
EFTA02829579.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829581.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,4,other
EFTA02829585.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,5,other
EFTA02829590.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,8,other
EFTA02829598.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,3,other
EFTA02829601.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,6,other
EFTA02829607.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,9,other
EFTA02829616.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,1,other
EFTA02829617.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,3,other
EFTA02829620.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829622.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,3,other
EFTA02829625.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,8,other
EFTA02829633.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,6,other
EFTA02829639.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,4,other
EFTA02829643.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,7,other
EFTA02829650.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,4,other
EFTA02829654.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,2,other
EFTA02829656.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,4,other
