file_name,file_origin,file_length,file_type
EFTA02778452.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,12,other
EFTA02778464.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,email
EFTA02778466.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02778468.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,1,other
EFTA02778469.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02778471.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02778473.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,1,other
EFTA02778474.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02778476.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02778478.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02778480.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,3,other
EFTA02778483.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02778485.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,1,other
EFTA02778486.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02778488.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,1,other
EFTA02778489.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,3,other
EFTA02778492.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,29,other
EFTA02778521.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,26,other
EFTA02778547.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02778549.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,13,other
EFTA02778562.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,3,other
EFTA02778565.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,5,other
EFTA02778570.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,1,other
EFTA02778571.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,26,other
EFTA02778597.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,5,other
EFTA02778602.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,55,other
EFTA02778657.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,92,other
EFTA02778749.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02778751.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,13,other
EFTA02778764.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,50,email
EFTA02778814.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,51,other
EFTA02778865.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,7,other
EFTA02778872.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,37,other
EFTA02778909.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,20,other
EFTA02778929.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,14,other
EFTA02778943.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,4,other
EFTA02778947.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,14,other
EFTA02778961.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,32,other
EFTA02778993.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,13,other
EFTA02779006.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02779008.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,3,other
EFTA02779011.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,4,other
EFTA02779015.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,13,other
EFTA02779028.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,26,other
EFTA02779054.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,3,other
EFTA02779057.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,3,other
EFTA02779060.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,3,other
EFTA02779063.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,8,other
EFTA02779071.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,18,other
EFTA02779089.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,2,other
EFTA02779091.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,3,other
EFTA02779094.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,22,other
EFTA02779116.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,1,other
EFTA02779117.pdf,court-records-v-maxwell-no-115-cv-07433-sdny-2015-1,19,other
